Continent,Region,country,country_code,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewables_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_style_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,Judicial_system_and_detention,law_enforcement,terroitorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors
Africa,Central Africa,Gabon,GAB,4.9,4.8,5.5,5.5,4.5,8.5,7.0,3.0,2.5,2.5,4.0,5.0,5.0,1.0,5.0,8.0,6.0,3.1666666666666665,2.0,2.0,5.0,4.0,3.0,4.5,4.5,2.0,2.0,3.0,3.5,2.5
Africa,West Africa,Gambia,GMB,4.825,5.15,7.0,5.0,2.5,7.0,3.5,4.5,4.5,6.5,7.0,4.0,4.5,1.0,6.5,6.5,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.5,6.5,5.5,5.5,2.5,3.5,6.5
Asia,Central Asia and the Caucasus,Georgia,GEO,2.9625,3.05,3.5,2.0,2.0,3.5,3.5,3.0,3.5,2.0,3.5,4.0,2.875,2.5,3.0,3.0,3.0,5.708333333333333,5.0,6.5,7.0,6.5,3.5,6.5,5.0,5.0,5.0,7.0,5.5,6.0
Europe,Western Europe,Germany,DEU,4.9,4.8,5.5,7.0,6.0,1.5,3.5,2.5,4.5,6.5,5.0,6.0,5.0,5.0,6.5,2.0,6.5,7.666666666666667,7.0,7.5,8.0,8.0,7.5,7.5,9.0,6.5,7.0,8.0,8.0,8.0
Africa,West Africa,Ghana,GHA,6.0125,6.15,6.5,5.0,5.0,6.5,6.0,7.5,6.0,6.5,5.5,7.0,5.875,3.0,6.5,7.5,6.5,5.375,5.5,5.5,6.5,5.0,5.0,4.5,6.0,6.0,6.0,3.5,4.0,7.0
Europe,Southern Europe,Greece,GRC,4.925,4.1,5.5,7.5,3.5,2.0,2.5,3.0,6.0,3.5,5.0,2.5,5.75,3.0,6.5,7.5,6.0,5.25,5.5,5.0,6.5,6.0,4.5,5.0,5.5,5.5,5.5,4.0,5.0,5.0
Americas,Caribbean,Grenada,GRD,3.05,2.85,2.0,1.0,3.0,1.0,2.5,3.0,1.0,6.5,7.0,1.5,3.25,4.0,2.0,3.0,4.0,4.666666666666667,5.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0
Americas,Central America,Guatemala,GTM,6.475,5.95,6.5,7.0,7.0,4.0,4.0,2.5,7.5,8.5,6.5,6.0,7.0,7.5,6.0,7.0,7.5,4.416666666666667,3.5,4.0,5.5,5.5,4.0,5.0,3.5,5.0,4.0,4.0,4.0,5.0
Africa,West Africa,Guinea,GIN,5.2,5.15,7.0,3.0,6.0,4.5,6.0,6.5,2.5,7.0,4.5,4.5,5.25,1.0,5.0,8.0,7.0,2.8333333333333335,2.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,3.0,1.5,1.5,3.0
Africa,West Africa,Guinea-Bissau,GNB,5.45,4.9,5.5,2.5,5.5,8.5,5.5,1.0,5.0,8.0,5.5,2.0,6.0,1.0,8.0,8.5,6.5,2.4166666666666665,2.0,2.5,3.0,3.0,3.0,3.0,3.0,2.5,1.5,1.0,1.5,3.0
Americas,South America,Guyana,GUY,5.1,4.7,5.5,4.0,5.0,4.5,3.5,8.5,2.5,8.0,3.0,2.5,5.5,3.0,5.0,8.0,6.0,4.291666666666667,5.0,3.0,5.0,3.0,4.0,2.5,5.0,4.0,5.0,5.0,5.0,5.0
Americas,Caribbean,Haiti,HTI,5.725,5.45,6.5,6.5,5.5,6.5,4.0,6.0,2.0,8.0,6.0,3.5,6.0,8.0,6.0,7.0,3.0,2.6666666666666665,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.5,3.0,4.5
Americas,Central America,Honduras,HND,6.975,5.7,6.5,6.5,6.0,7.0,6.0,5.0,2.0,7.5,7.5,3.0,8.25,8.5,8.0,8.5,8.0,3.9166666666666665,2.5,3.5,5.5,4.0,3.0,4.5,4.5,4.0,3.5,3.0,4.5,4.5
Europe,Central & Eastern Europe,Hungary,HUN,4.5,4.75,6.0,6.0,3.5,3.5,4.5,3.5,4.5,5.0,5.5,5.5,4.25,1.0,4.0,7.0,5.0,5.083333333333333,4.5,3.5,5.0,5.5,5.0,6.0,7.0,5.5,4.5,4.5,6.0,4.0
Europe,Northern Europe,Iceland,ISL,3.3875,2.65,4.0,3.0,1.5,1.0,1.5,1.0,1.5,4.5,4.0,4.5,4.125,4.5,5.0,2.0,5.0,8.041666666666666,7.0,7.5,8.5,8.5,8.5,8.5,8.5,8.0,8.5,7.0,7.5,8.5
Asia,Southern Asia,India,IND,5.525,6.3,7.0,6.0,5.5,5.5,8.0,7.0,6.5,3.5,7.5,6.5,4.75,3.5,6.0,6.0,3.5,5.25,4.0,5.5,7.5,4.5,5.0,5.5,6.5,6.0,5.0,3.5,5.0,5.0
Asia,South-Eastern Asia,Indonesia,IDN,6.375,6.0,6.5,6.0,4.5,7.5,8.0,7.5,3.5,4.0,6.5,6.0,6.75,6.0,7.5,7.5,6.0,4.333333333333333,4.0,3.5,5.5,5.0,3.5,4.0,4.0,4.5,4.5,5.0,4.5,4.0
Asia,Western Asia,Iran,IRN,7.1,6.95,7.5,8.0,8.0,4.5,4.0,8.5,9.0,5.5,6.0,8.5,7.25,7.0,7.5,9.5,5.0,3.5,3.0,2.5,4.5,4.0,3.5,3.5,5.5,2.5,3.0,4.0,3.0,3.0
Asia,Western Asia,Iraq,IRQ,7.05,6.35,8.0,8.5,9.0,1.5,4.5,9.0,6.0,5.0,6.0,6.0,7.75,6.5,7.5,8.0,9.0,3.7916666666666665,4.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.0,4.0,4.5
Europe,Western Europe,Ireland,IRL,4.9,4.55,4.5,4.0,4.0,2.0,4.0,5.0,5.5,6.5,5.0,5.0,5.25,6.0,5.5,3.0,6.5,7.375,7.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,5.5,7.0
Asia,Western Asia,Israel,ISR,4.4125,4.2,5.5,2.5,5.5,1.5,2.0,5.5,3.0,4.5,6.5,5.5,4.625,5.5,4.0,5.0,4.0,6.0,6.0,5.0,6.0,7.0,5.0,5.5,3.5,7.0,7.0,6.0,6.0,8.0
Europe,Southern Europe,Italy,ITA,5.8125,5.25,7.0,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5.0,5.0,6.375,9.0,3.0,6.5,7.0,6.291666666666667,6.5,5.0,8.5,8.0,5.0,7.5,6.5,5.5,5.0,5.5,5.5,7.0
Americas,Caribbean,Jamaica,JAM,5.9125,4.2,5.0,3.0,8.5,1.5,2.0,1.0,3.0,6.0,9.0,3.0,7.625,8.0,7.5,8.0,7.0,5.458333333333333,5.0,5.5,6.5,5.5,4.0,6.0,6.5,4.5,4.5,5.0,6.0,6.5
Asia,Eastern Asia,Japan,JPN,4.525,4.05,5.0,4.5,3.0,4.0,6.0,3.0,2.0,3.0,4.5,5.5,5.0,6.5,5.5,3.0,5.0,7.458333333333333,6.0,7.5,9.0,7.5,8.0,7.5,8.5,8.0,8.0,5.5,6.0,8.0
Asia,Western Asia,Jordan,JOR,4.7125,4.55,6.5,5.5,6.5,3.5,3.5,1.5,3.5,3.0,6.0,6.0,4.875,1.5,7.0,6.5,4.5,5.916666666666667,7.0,5.0,8.0,6.5,4.5,7.0,6.0,6.5,4.0,4.5,6.5,5.5
Asia,Central Asia and the Caucasus,Kazakhstan,KAZ,4.2625,4.15,5.5,4.0,2.0,2.0,5.0,4.5,6.5,2.5,4.5,5.0,4.375,3.5,4.0,6.0,4.0,4.708333333333333,5.0,4.0,5.5,5.5,5.0,4.5,5.0,5.0,5.0,4.5,4.0,3.5
Africa,East Africa,Kenya,KEN,6.95,6.65,7.5,7.0,7.5,6.0,7.0,7.0,7.5,6.0,6.5,4.5,7.25,7.0,7.5,8.0,6.5,5.208333333333333,5.0,4.5,7.0,6.0,5.5,4.5,6.0,6.0,5.0,3.0,3.5,6.5
Oceania,Melanesia,Kiribati,KIR,2.35,2.45,4.5,1.5,2.0,1.0,6.5,2.0,1.0,3.0,2.0,1.0,2.25,1.0,4.0,1.5,2.5,4.333333333333333,5.5,5.5,5.5,6.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,5.5
Asia,Western Asia,Kuwait,KWT,5.1375,6.15,8.0,6.5,6.5,5.5,6.0,6.0,5.0,4.5,6.5,7.0,4.125,1.0,6.0,6.0,3.5,5.541666666666667,5.0,4.5,6.0,5.5,5.5,6.0,5.5,5.5,6.5,5.5,5.5,5.5
Asia,Central Asia and the Caucasus,Kyrgyzstan,KGZ,5.325,4.4,6.5,4.5,3.0,2.0,3.5,5.5,7.0,2.0,5.5,4.5,6.25,5.5,6.5,8.5,4.5,4.166666666666667,3.5,3.0,4.5,5.0,3.0,3.5,4.5,3.0,5.0,4.5,5.0,5.5
Asia,South-Eastern Asia,Laos,LAO,5.5125,5.65,6.5,6.5,4.5,8.0,8.0,1.5,7.0,2.5,4.0,8.0,5.375,1.5,6.0,6.0,8.0,3.4166666666666665,3.0,2.5,3.5,4.0,3.0,4.0,2.5,3.5,4.0,4.0,3.5,3.5
Europe,Northern Europe,Latvia,LVA,3.5125,3.65,4.5,3.5,3.5,1.0,2.0,2.0,4.5,5.0,5.5,5.0,3.375,3.5,3.5,2.0,4.5,7.416666666666667,7.5,6.0,8.5,8.0,7.5,7.5,8.5,5.5,8.0,7.5,7.5,7.0
Asia,Western Asia,Lebanon,LBN,6.7625,5.9,8.5,6.5,7.5,1.5,3.0,5.0,4.0,6.0,9.0,8.0,7.625,6.0,7.0,9.5,8.0,4.0,4.5,3.5,6.5,4.0,4.0,3.5,3.0,3.0,2.0,5.0,3.5,5.5
Africa,Southern Africa,Lesotho,LSO,3.9,3.55,4.0,3.0,3.0,1.0,2.5,5.5,3.5,5.5,4.5,3.0,4.25,1.0,5.0,6.0,5.0,3.6666666666666665,4.0,3.5,6.0,5.5,3.0,3.0,2.5,5.0,3.0,2.5,2.0,4.0
Africa,West Africa,Liberia,LBR,5.05,5.1,6.0,3.0,4.5,5.5,6.0,6.5,5.0,5.5,6.0,3.0,5.0,3.0,6.0,6.0,5.0,3.1666666666666665,3.5,3.0,3.0,3.0,3.5,4.0,4.0,3.0,4.0,1.0,2.0,4.0
Africa,North Africa,Libya,LBY,6.55,6.1,9.5,8.0,9.5,1.0,3.5,8.5,2.5,4.0,7.5,7.0,7.0,8.0,7.5,8.5,4.0,1.5416666666666667,1.5,1.5,2.5,2.0,1.5,1.5,1.5,1.0,2.0,1.0,1.0,1.5
Europe,Western Europe,Liechtenstein,LIE,1.875,2.0,2.0,1.5,2.5,1.5,1.5,1.5,2.0,2.5,3.0,2.0,1.75,1.0,1.5,1.5,3.0,8.416666666666666,9.0,8.0,7.5,9.0,9.0,8.0,9.5,5.0,8.5,9.5,9.5,8.5
Europe,Northern Europe,Lithuania,LTU,3.3125,3.0,3.5,2.5,2.5,1.0,2.0,2.0,4.0,4.5,4.0,4.0,3.625,3.5,4.0,4.0,3.0,7.208333333333333,7.5,7.0,7.5,7.0,7.5,7.0,8.0,6.5,7.5,7.0,6.5,7.5
Europe,Western Europe,Luxembourg,LUX,2.3625,2.35,3.5,2.0,2.0,1.0,1.5,1.5,3.5,3.0,2.5,3.0,2.375,1.0,2.0,1.5,5.0,7.5,8.0,6.5,9.0,7.0,7.5,7.0,8.0,6.0,8.0,7.0,8.0,8.0
Africa,Southern Africa,Madagascar,MDG,5.5875,5.3,6.0,3.0,4.5,7.5,7.0,7.5,7.0,2.5,6.0,2.0,5.875,4.0,5.0,7.5,7.0,3.375,4.0,2.0,3.0,4.0,3.0,3.5,5.0,5.0,2.0,2.0,4.0,3.0
Africa,Southern Africa,Malawi,MWI,3.825,4.15,4.5,3.5,4.5,4.0,6.0,4.0,4.5,2.5,6.0,2.0,3.5,2.0,3.0,4.0,5.0,4.291666666666667,5.0,4.5,4.5,5.5,4.0,4.0,3.0,6.0,4.0,2.0,3.5,5.5
Asia,South-Eastern Asia,Malaysia,MYS,5.9375,6.25,6.5,7.0,5.5,6.0,8.0,5.5,6.5,5.0,5.0,7.5,5.625,4.5,5.5,6.0,6.5,5.833333333333333,4.5,5.5,7.0,7.0,5.0,5.5,5.5,5.5,7.0,6.0,6.0,5.5
Asia,Southern Asia,Maldives,MDV,4.0625,3.5,6.0,5.5,2.0,1.0,5.0,1.0,6.0,3.5,3.0,2.0,4.625,5.0,5.0,4.0,4.5,3.875,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.5,3.0,2.0,3.0,5.0
Africa,West Africa,Mali,MLI,5.8875,6.15,7.0,6.0,8.0,5.0,5.5,7.5,3.0,6.0,7.0,6.5,5.625,3.0,7.0,8.5,4.0,2.375,2.0,3.0,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0
Europe,Southern Europe,Malta,MLT,4.65,4.05,5.0,4.0,2.5,1.0,5.0,5.0,3.0,5.0,4.5,5.5,5.25,1.5,7.0,7.5,5.0,5.166666666666667,4.5,4.5,7.5,6.0,4.5,4.0,4.5,4.5,6.5,7.5,4.0,4.0
Oceania,Micronesia,Marshall Islands,MHL,2.3125,2.5,4.5,2.0,1.5,1.0,6.5,1.0,1.5,2.0,2.5,2.5,2.125,1.0,2.0,2.0,3.5,5.041666666666667,5.5,4.5,5.0,6.0,6.5,4.0,5.5,4.0,6.0,3.5,4.0,6.0
Africa,North Africa,Mauritania,MRT,4.375,4.0,7.5,6.0,4.0,1.0,3.5,3.5,1.5,4.5,6.5,2.0,4.75,2.5,4.5,7.0,5.0,3.0833333333333335,4.0,3.5,3.0,3.5,2.5,3.0,4.5,4.0,3.0,1.5,2.0,2.5
Africa,Southern Africa,Mauritius,MUS,4.5125,4.4,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.625,2.0,6.0,6.0,4.5,5.666666666666667,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0
Americas,Central America,Mexico,MEX,7.5625,8.0,7.5,8.5,8.0,7.5,7.0,7.5,8.0,9.0,8.0,9.0,7.125,9.0,9.0,7.0,3.5,4.458333333333333,3.0,4.0,7.0,6.0,4.0,5.0,3.0,4.0,5.0,3.5,4.0,5.0
Oceania,Micronesia,Micronesia (Federated States of),FSM,3.3,2.85,5.0,3.0,1.5,1.0,6.5,1.0,1.0,3.0,3.5,3.0,3.75,1.0,5.5,3.0,5.5,5.333333333333333,6.5,5.0,5.5,5.5,5.5,6.0,6.0,4.0,4.0,4.5,5.5,6.0
Europe,Central & Eastern Europe,Moldova,MDA,4.45,3.9,7.5,4.0,5.0,2.5,2.0,3.0,3.0,2.5,4.5,5.0,5.0,4.0,4.0,7.0,5.0,3.7083333333333335,3.5,3.5,4.5,5.0,3.0,3.5,2.0,3.5,4.0,5.0,3.0,4.0
Europe,Southern Europe,Monaco,MCO,2.425,1.6,1.5,1.0,1.5,1.0,1.0,1.5,2.0,2.0,2.5,2.0,3.25,1.0,3.0,3.5,5.5,5.375,3.5,4.0,5.0,6.0,8.0,7.0,6.0,4.5,4.0,8.0,4.5,4.0
Asia,Eastern Asia,Mongolia,MNG,4.0125,3.9,4.5,3.0,3.5,5.5,4.5,4.0,2.0,2.0,4.0,6.0,4.125,2.0,4.5,4.5,5.5,5.083333333333333,5.0,5.0,6.0,6.5,4.0,5.0,5.0,4.0,3.5,4.0,6.5,6.5
Europe,Central & Eastern Europe,Montenegro,MNE,6.0,5.0,4.5,5.5,6.0,3.0,4.5,3.5,5.5,7.5,5.5,4.5,7.0,7.5,7.0,7.5,6.0,4.458333333333333,3.5,4.0,5.5,5.0,4.5,3.5,5.0,5.0,4.0,4.0,5.0,4.5
Africa,North Africa,Morocco,MAR,4.7875,4.95,5.5,6.5,3.0,3.0,4.5,3.0,3.0,6.0,9.0,6.0,4.625,1.0,6.5,7.0,4.0,4.625,4.5,3.5,6.0,6.0,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.5
Africa,Southern Africa,Mozambique,MOZ,6.525,6.05,4.0,5.0,5.5,8.0,8.0,8.0,7.5,3.5,4.0,7.0,7.0,3.5,8.0,9.0,7.5,3.2916666666666665,3.0,3.5,5.0,5.5,2.0,2.0,3.5,3.0,4.0,3.0,2.0,3.0
Asia,South-Eastern Asia,Myanmar,MMR,7.5875,7.05,6.5,7.5,8.0,7.0,8.0,6.5,9.5,3.5,4.5,9.5,8.125,9.0,7.5,8.5,7.5,3.4166666666666665,3.0,3.0,5.0,4.5,3.5,4.0,3.0,3.0,3.0,2.0,3.0,4.0
Africa,Southern Africa,Namibia,NAM,4.325,3.9,3.5,2.5,3.0,6.5,4.5,4.0,3.0,4.5,3.0,4.5,4.75,3.0,5.0,5.0,6.0,4.958333333333333,5.0,5.0,7.0,6.5,4.5,4.5,3.5,4.5,5.0,4.0,4.0,6.0
Oceania,Micronesia,Nauru,NRU,1.7625,1.65,1.5,2.5,1.0,1.0,3.0,3.5,1.0,1.0,1.0,1.0,1.875,1.0,1.0,3.5,2.0,4.666666666666667,5.0,4.5,6.0,6.5,6.0,5.5,7.5,6.0,4.0,2.0,1.0,2.0
Asia,Southern Asia,Nepal,NPL,6.1625,5.7,7.0,6.5,6.0,7.0,7.0,6.5,4.5,3.5,5.0,4.0,6.625,4.5,6.5,8.5,7.0,3.7083333333333335,2.5,2.0,4.5,3.5,3.0,4.5,4.0,3.0,4.5,4.5,3.5,5.0
Europe,Western Europe,Netherlands,NLD,4.6875,5.0,5.5,4.5,5.0,3.0,4.0,4.0,4.0,7.0,5.5,7.5,4.375,4.5,6.0,2.5,4.5,7.416666666666667,7.5,8.0,8.0,7.5,7.5,7.5,6.0,6.5,6.5,8.0,8.0,8.0
Oceania,Australia and New Zealand,New Zealand,NZL,3.25,3.25,3.5,3.5,3.0,2.0,3.5,1.5,3.0,3.0,4.0,5.5,3.25,4.5,3.5,1.5,3.5,8.375,8.5,8.5,8.5,8.5,8.0,8.5,8.5,8.0,8.5,8.5,8.0,8.5
Americas,Central America,Nicaragua,NIC,6.0625,5.5,6.0,5.5,6.0,6.0,6.0,6.0,2.5,7.5,6.0,3.5,6.625,5.0,6.5,9.0,6.0,2.4583333333333335,2.0,1.0,2.5,3.5,2.5,3.0,2.5,3.0,2.0,2.0,3.5,2.0
Africa,West Africa,Niger,NER,6.0125,5.9,7.0,7.0,8.0,2.0,4.5,7.5,3.0,6.0,7.0,7.0,6.125,4.0,7.0,8.5,5.0,3.2083333333333335,3.5,2.5,5.5,4.0,2.5,4.0,4.0,3.0,3.0,2.0,2.0,2.5
Africa,West Africa,Nigeria,NGA,7.15,7.05,7.5,6.0,8.0,6.0,6.5,8.0,6.0,6.5,8.0,8.0,7.25,5.5,9.0,7.5,7.0,5.5,5.5,5.0,7.0,7.0,4.5,4.5,4.5,5.0,6.5,5.0,5.0,6.5
Asia,Eastern Asia,"Korea, DPR",PRK,4.775,5.3,8.0,6.5,9.0,1.0,3.0,7.0,3.5,2.0,6.0,7.0,4.25,1.0,2.0,10.0,4.0,1.9583333333333333,3.5,1.0,2.0,2.0,1.5,1.5,6.0,1.0,1.5,1.0,1.0,1.5
