Continent,Region,country,country_code,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewables_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_style_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,Judicial_system_and_detention,law_enforcement,terroitorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors
Europe,Central & Eastern Europe,North Macedonia,MKD,5.3125,5.0,5.5,6.5,4.5,4.0,3.5,3.0,6.5,5.0,6.0,5.5,5.625,4.0,6.5,6.0,6.0,5.208333333333333,5.0,4.5,6.0,5.0,5.0,5.0,6.0,5.5,4.5,5.0,5.0,6.0
Europe,Northern Europe,Norway,NOR,3.8125,4.0,5.0,3.5,3.5,2.5,4.0,3.5,5.0,4.5,4.0,4.5,3.625,4.5,4.0,2.0,4.0,7.916666666666667,8.0,8.5,9.0,8.5,8.0,8.5,8.0,7.0,7.5,7.5,7.0,7.5
Asia,Western Asia,Oman,OMN,4.1375,4.9,6.0,4.0,5.0,5.0,5.0,5.5,5.0,3.0,4.5,6.0,3.375,1.0,5.0,4.0,3.5,5.25,4.5,4.5,6.5,6.5,5.5,7.5,5.5,5.0,4.5,4.0,4.0,5.0
Asia,Southern Asia,Pakistan,PAK,6.275,6.3,8.0,7.0,8.0,4.5,5.0,5.5,8.5,3.0,7.0,6.5,6.25,6.0,7.5,7.0,4.5,4.0,3.5,3.5,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.5,4.0,4.5
Oceania,Micronesia,Palau,PLW,2.9375,3.0,4.0,3.0,1.5,1.0,6.5,1.5,1.5,3.0,3.0,5.0,2.875,1.0,4.0,2.0,4.5,4.541666666666667,6.5,5.5,6.0,5.5,3.0,5.0,4.0,4.5,4.0,2.0,4.0,4.5
Americas,Central America,Panama,PAN,6.675,6.35,8.0,5.5,6.5,6.0,8.0,6.0,5.0,8.5,5.0,5.0,7.0,7.5,7.0,7.5,6.0,4.833333333333333,4.5,4.0,6.0,6.0,3.0,4.5,6.0,4.5,6.0,4.0,4.0,5.5
Oceania,Melanesia,Papua New Guinea,PNG,5.4375,5.0,7.0,4.0,5.5,8.0,5.0,5.5,1.0,4.0,5.5,4.5,5.875,1.0,8.0,8.0,6.5,3.4166666666666665,3.0,2.0,4.5,5.0,4.5,3.0,3.0,4.5,3.0,3.0,2.5,3.0
Americas,South America,Paraguay,PRY,6.7,5.9,7.0,6.0,8.5,6.0,6.5,3.5,1.0,7.0,9.0,4.5,7.5,6.0,7.5,8.0,8.5,3.375,2.0,3.0,5.0,3.0,3.0,3.0,5.0,2.5,4.0,2.0,3.0,5.0
Americas,South America,Peru,PER,6.35,6.2,7.0,6.0,5.5,7.0,5.5,9.0,3.5,9.0,5.5,4.0,6.5,6.0,8.0,7.0,5.0,4.583333333333333,3.0,5.5,5.0,6.0,6.0,5.0,5.0,4.5,4.0,3.5,3.0,4.5
Asia,South-Eastern Asia,Philippines,PHL,6.8375,6.3,7.0,5.0,7.5,7.0,7.5,8.0,4.0,3.5,4.5,9.0,7.375,8.0,6.0,8.0,7.5,4.125,3.0,3.0,5.0,5.0,4.5,2.0,4.0,5.0,6.0,5.0,4.0,3.0
Europe,Central & Eastern Europe,Poland,POL,4.0125,4.4,5.5,4.5,3.5,2.0,2.5,5.5,4.0,4.5,5.5,6.5,3.625,2.0,5.5,3.5,3.5,6.125,5.5,4.0,7.0,7.0,5.5,6.5,7.5,7.0,7.5,5.0,6.0,5.0
Europe,Southern Europe,Portugal,PRT,4.55,4.1,4.5,4.0,4.0,3.5,3.5,3.0,4.5,5.0,4.5,4.5,5.0,4.5,6.0,4.5,5.0,6.458333333333333,7.0,5.5,7.5,7.0,5.5,7.5,6.0,6.5,5.5,7.0,5.5,7.0
Asia,Western Asia,Qatar,QAT,5.2125,5.8,8.0,6.0,6.5,5.0,6.5,5.0,4.5,4.0,6.0,6.5,4.625,1.0,6.0,6.0,5.5,5.583333333333333,5.0,5.5,5.5,5.0,5.0,5.5,7.0,6.0,6.0,6.0,6.0,4.5
Europe,Central & Eastern Europe,Romania,ROU,4.5875,5.05,6.5,5.5,3.5,6.0,5.0,4.0,5.5,5.5,4.5,4.5,4.125,4.0,5.0,3.5,4.0,5.583333333333333,5.5,5.5,6.5,6.0,6.0,5.5,6.5,5.5,5.0,5.0,5.0,5.0
Europe,Central & Eastern Europe,Russia,RUS,6.2375,6.1,6.5,6.0,4.5,7.5,7.5,5.0,7.0,4.5,5.0,7.5,6.375,4.5,7.5,8.5,5.0,4.041666666666667,4.0,3.0,4.5,5.5,4.0,4.5,5.5,4.0,4.0,2.5,3.5,3.5
Africa,Central Africa,Rwanda,RWA,3.675,4.1,5.0,2.5,5.0,3.0,5.0,8.0,3.0,2.5,4.0,3.0,3.25,1.0,3.0,5.0,4.0,5.5,5.5,5.5,5.0,6.0,5.0,7.0,6.0,6.0,6.0,5.5,5.0,3.5
Oceania,Polynesia,Samoa,WSM,2.0375,2.45,3.5,2.0,3.0,1.5,2.0,2.0,1.0,2.5,4.5,2.5,1.625,1.0,2.0,1.5,2.0,5.666666666666667,4.5,5.0,5.0,6.5,6.0,6.5,7.5,6.0,3.0,5.0,6.0,7.0
Europe,Southern Europe,San Marino,SMR,3.0125,1.9,2.0,1.5,3.0,1.0,1.0,1.5,2.0,3.5,2.5,1.0,4.125,2.0,4.0,4.5,6.0,5.125,4.0,4.0,5.5,5.5,6.5,5.0,6.0,4.0,5.5,5.5,4.5,5.5
Africa,Central Africa,São Tomé and Príncipe,STP,1.775,1.8,1.5,1.5,2.0,2.5,2.0,1.0,2.0,2.0,2.5,1.0,1.75,1.0,2.0,2.0,2.0,4.916666666666667,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0
Asia,Western Asia,Saudi Arabia,SAU,6.0125,6.9,8.5,7.5,8.0,5.0,7.0,7.0,6.5,5.5,6.5,7.5,5.125,3.0,6.5,8.0,3.0,4.291666666666667,3.0,3.5,5.0,4.5,3.0,4.5,5.0,5.5,5.0,4.5,5.0,3.0
Africa,West Africa,Senegal,SEN,4.8125,5.0,5.0,5.0,4.5,7.5,7.0,3.5,2.5,6.5,6.0,2.5,4.625,2.5,5.5,4.5,6.0,5.583333333333333,5.5,4.0,6.0,6.5,5.0,6.0,6.5,5.0,5.5,5.0,5.0,7.0
Europe,Central & Eastern Europe,Serbia,SRB,6.2125,5.55,5.0,6.5,7.5,4.0,4.0,4.0,7.0,5.5,6.0,6.0,6.875,6.0,7.0,8.0,6.5,4.916666666666667,4.5,4.0,6.0,5.0,5.0,5.0,6.0,5.5,5.0,4.0,5.5,3.5
Africa,Southern Africa,Seychelles,SYC,3.675,3.6,4.0,3.5,3.5,4.0,4.0,1.0,7.5,3.0,3.0,2.5,3.75,2.0,4.5,4.5,4.0,4.583333333333333,5.0,5.0,6.0,5.5,6.0,4.0,4.5,3.0,3.0,4.0,5.0,4.0
Africa,West Africa,Sierra Leone,SLE,5.4,5.05,5.0,4.0,3.5,6.5,6.5,6.5,2.0,4.5,7.0,5.0,5.75,3.5,5.5,7.0,7.0,3.4583333333333335,3.5,3.5,4.0,2.5,2.0,4.0,4.0,3.5,3.0,2.5,4.0,5.0
Asia,South-Eastern Asia,Singapore,SGP,3.125,3.25,5.5,2.5,2.0,2.0,5.0,1.5,4.0,3.0,2.0,5.0,3.0,3.0,3.5,1.5,4.0,7.708333333333333,7.5,7.5,9.0,8.5,9.0,9.0,8.0,7.0,8.0,7.0,9.0,3.0
Europe,Central & Eastern Europe,Slovakia,SVK,4.6875,4.25,5.5,3.5,4.5,3.5,3.0,3.0,4.5,4.5,5.0,5.5,5.125,3.0,6.0,6.5,5.0,5.375,5.5,5.0,7.0,6.5,5.0,5.5,6.0,5.0,4.5,4.5,5.0,5.0
Europe,Central & Eastern Europe,Slovenia,SVN,4.2875,3.95,4.0,5.5,3.5,2.0,3.0,2.5,4.0,4.5,5.0,5.5,4.625,3.0,4.5,6.0,5.0,6.083333333333333,6.0,5.0,6.5,6.5,6.0,6.0,7.5,6.5,5.0,6.0,6.0,6.0
Oceania,Melanesia,Solomon Islands,SLB,4.15,3.55,4.0,2.0,3.0,8.0,7.5,2.5,1.0,2.5,3.5,1.5,4.75,1.0,4.5,7.0,6.5,5.208333333333333,5.0,4.5,5.5,4.5,5.5,6.0,5.0,5.0,5.0,4.5,6.5,5.5
Africa,East Africa,Somalia,SOM,5.7875,4.45,8.0,7.5,8.5,6.0,4.5,2.0,2.0,2.0,2.0,2.0,7.125,9.5,7.5,7.0,4.5,1.6666666666666667,1.0,1.0,2.0,2.0,2.0,1.5,1.5,2.5,1.5,1.0,1.5,2.5
Africa,Southern Africa,South Africa,ZAF,6.625,6.0,4.5,4.0,8.0,3.5,7.5,7.5,7.5,5.5,3.5,8.5,7.25,7.0,7.0,7.5,7.5,5.791666666666667,6.0,5.5,6.5,6.5,6.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0
Asia,Eastern Asia,"Korea, Rep.",KOR,4.9125,3.95,6.0,4.5,3.5,4.0,4.5,2.0,3.5,3.5,3.0,5.0,5.875,6.5,6.0,4.5,6.5,7.541666666666667,8.0,7.0,8.0,8.0,8.5,8.0,7.0,7.0,6.5,6.5,8.0,8.0
Africa,East Africa,South Sudan,SSD,6.3375,5.3,8.5,5.5,8.0,7.5,7.0,8.0,2.0,1.5,4.0,1.0,7.375,4.5,8.0,9.0,8.0,1.8333333333333333,2.0,1.0,2.0,3.0,2.0,2.0,1.5,1.5,2.5,1.0,1.5,2.0
Europe,Southern Europe,Spain,ESP,5.775,5.3,7.0,7.0,4.0,3.5,5.0,2.0,6.5,7.0,7.0,4.0,6.25,6.0,6.5,5.0,7.5,6.625,6.0,6.0,8.0,8.0,7.0,8.0,5.5,6.5,6.0,6.5,5.0,7.0
Asia,Southern Asia,Sri Lanka,LKA,4.6375,4.65,5.5,6.0,5.0,3.0,4.5,3.0,6.0,3.0,5.5,5.0,4.625,4.0,5.0,7.0,2.5,4.041666666666667,4.0,3.5,5.5,5.5,3.5,3.5,4.0,5.0,5.0,3.0,2.5,3.5
Americas,Caribbean,St. Kitts and Nevis,KNA,4.1,3.2,3.0,2.5,5.0,1.5,2.0,2.0,1.0,7.0,7.0,1.0,5.0,1.0,6.5,6.5,6.0,5.0,6.0,5.0,6.0,6.5,7.0,4.5,6.0,5.5,2.0,2.5,4.0,5.0
Americas,Caribbean,St. Lucia,LCA,4.0875,3.05,4.0,1.5,5.0,2.0,1.0,1.0,1.0,7.0,7.0,1.0,5.125,5.0,4.0,5.5,6.0,5.625,7.5,6.5,6.5,6.5,6.0,4.5,5.5,4.0,5.5,5.0,6.0,4.0
Americas,Caribbean,St. Vincent and the Grenadines,VCT,3.3,2.85,2.5,1.0,4.0,1.0,2.0,1.0,1.0,7.5,7.5,1.0,3.75,2.0,5.0,2.0,6.0,5.458333333333333,6.0,6.0,6.0,6.5,6.0,4.5,6.0,5.5,4.0,3.0,6.0,6.0
Africa,East Africa,Sudan,SDN,6.4625,5.55,8.0,7.5,8.5,1.5,5.5,7.5,2.0,2.5,8.0,4.5,7.375,6.5,7.5,8.0,7.5,2.9583333333333335,3.0,2.0,5.0,4.5,3.5,3.5,2.5,4.0,2.5,1.0,2.0,2.0
Americas,South America,Suriname,SUR,4.9,4.55,4.0,4.0,5.5,5.0,3.5,9.0,1.5,8.5,2.5,2.0,5.25,2.5,5.0,8.0,5.5,2.25,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,2.5,4.0
Europe,Northern Europe,Sweden,SWE,4.5625,4.25,4.5,5.5,6.0,2.0,3.5,2.0,4.0,4.5,5.0,5.5,4.875,5.5,5.5,2.5,6.0,7.458333333333333,7.0,9.0,8.5,7.0,7.0,6.5,8.0,7.5,7.5,6.0,7.0,8.5
Europe,Western Europe,Switzerland,CHE,4.3375,4.3,5.0,3.0,6.5,1.5,3.0,7.0,2.5,5.5,5.5,3.5,4.375,4.5,4.0,1.5,7.5,7.125,9.0,6.5,7.5,6.5,7.0,7.5,8.5,5.0,6.0,8.0,6.0,8.0
Asia,Western Asia,Syria,SYR,6.8375,6.05,8.5,8.5,9.0,1.5,3.5,7.0,3.0,2.5,7.5,9.5,7.625,4.5,9.0,10.0,7.0,1.875,2.0,1.0,3.0,2.0,1.5,2.0,1.5,2.0,2.5,2.0,2.0,1.0
Asia,Central Asia and the Caucasus,Tajikistan,TJK,5.6125,5.1,6.5,6.0,4.0,2.5,3.5,7.0,8.5,2.0,6.0,5.0,6.125,5.5,5.0,9.0,5.0,2.6666666666666665,3.0,2.0,3.0,2.0,3.0,3.0,2.5,3.5,3.0,2.0,3.0,2.0
Africa,East Africa,Tanzania,TZA,6.15,6.55,6.5,6.5,5.5,7.5,8.0,6.5,7.5,5.0,7.0,5.5,5.75,3.0,7.0,7.0,6.0,4.041666666666667,5.5,2.0,4.0,5.5,5.0,4.0,4.5,5.5,5.0,3.0,3.0,1.5
Asia,South-Eastern Asia,Thailand,THA,5.7625,6.4,6.5,7.0,5.5,6.5,8.0,6.0,7.5,4.0,5.0,8.0,5.125,1.5,5.0,6.5,7.5,4.666666666666667,5.0,4.5,6.0,5.5,4.0,5.0,4.0,4.5,4.5,4.5,5.0,3.5
Asia,South-Eastern Asia,Timor-Leste,TLS,3.9625,3.55,4.0,5.0,4.0,3.0,5.0,2.0,2.5,2.5,3.5,4.0,4.375,5.0,4.0,4.5,4.0,3.6666666666666665,3.0,3.0,3.5,4.5,4.0,4.5,3.0,4.0,3.0,3.5,3.5,4.5
Africa,West Africa,Togo,TGO,5.325,4.9,6.0,3.5,4.0,5.0,6.0,6.0,3.0,5.0,6.5,4.0,5.75,1.0,7.0,7.5,7.5,4.0,3.0,3.0,5.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5
Oceania,Polynesia,Tonga,TON,3.775,3.3,3.5,1.0,5.0,1.0,3.5,2.0,1.5,4.0,5.0,6.5,4.25,1.0,4.5,5.0,6.5,5.208333333333333,5.0,5.5,6.5,6.0,4.0,5.0,5.5,5.0,5.0,5.0,4.0,6.0
Americas,Caribbean,Trinidad and Tobago,TTO,4.9375,4.25,6.0,4.0,6.0,1.0,2.0,2.0,3.0,7.5,7.0,4.0,5.625,6.0,5.0,5.0,6.5,5.208333333333333,5.0,5.0,6.5,7.0,3.5,5.5,5.0,6.0,4.0,5.0,5.0,5.0
Africa,North Africa,Tunisia,TUN,3.7875,4.2,4.0,7.0,5.0,3.5,3.5,5.0,2.0,3.0,5.0,4.0,3.375,1.0,4.0,5.5,3.0,4.833333333333333,4.5,5.0,5.0,6.5,4.5,4.5,5.5,5.5,4.0,4.5,3.0,5.5
Asia,Western Asia,Turkey,TUR,6.8875,6.4,7.0,9.0,9.0,4.0,3.0,9.5,8.0,4.0,5.0,5.5,7.375,8.0,7.5,9.0,5.0,3.5416666666666665,3.0,3.0,3.5,4.5,2.0,3.0,6.5,2.0,4.0,4.0,3.5,3.5
Asia,Central Asia and the Caucasus,Turkmenistan,TKM,4.6125,4.35,8.5,5.0,2.0,2.0,3.0,7.0,6.5,1.5,4.0,4.0,4.875,3.0,3.5,8.5,4.5,2.1666666666666665,2.0,1.5,1.5,2.5,2.0,2.0,2.0,3.5,2.0,2.0,2.0,3.0
Oceania,Polynesia,Tuvalu,TUV,1.5375,1.7,1.5,1.0,1.0,1.0,5.0,1.0,1.0,1.5,2.5,1.5,1.375,1.0,1.0,1.5,2.0,6.041666666666667,5.5,5.5,5.0,6.5,8.0,7.0,6.5,6.0,6.0,4.5,5.0,7.0
Africa,East Africa,Uganda,UGA,6.1375,5.65,7.0,5.0,6.5,6.0,6.5,7.0,5.0,3.5,6.0,4.0,6.625,5.0,7.0,7.5,7.0,3.9583333333333335,5.0,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.5
Europe,Central & Eastern Europe,Ukraine,UKR,6.175,5.6,7.0,6.5,8.0,6.5,4.0,7.0,5.0,3.5,5.0,3.5,6.75,6.0,7.0,8.0,6.0,4.0,3.5,4.0,5.5,4.0,4.5,3.5,2.0,4.0,4.5,3.5,4.0,5.0
Asia,Western Asia,United Arab Emirates,ARE,5.75,6.75,8.5,6.5,6.5,5.5,7.5,6.0,7.0,6.0,6.5,7.5,4.75,1.0,6.0,6.0,6.0,5.333333333333333,5.5,5.0,5.5,5.5,5.5,6.0,5.5,4.0,5.5,6.5,6.5,3.0
Europe,Western Europe,United Kingdom,GBR,4.8875,4.4,6.0,5.0,3.5,2.5,4.0,2.0,4.5,6.5,4.5,5.5,5.375,4.0,6.5,3.0,8.0,7.875,8.0,7.5,8.0,8.5,8.5,7.5,8.5,6.5,7.5,7.5,7.5,9.0
Americas,North America,United States,USA,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7.0,5.0,7.5,5.5,5.0,6.5,5.0,5.5,6.583333333333333,4.5,5.5,7.0,6.5,6.0,8.0,6.5,6.5,8.0,7.0,6.0,7.5
Americas,South America,Uruguay,URY,2.6875,2.75,3.0,2.0,2.5,1.0,3.5,1.0,2.0,5.0,4.0,3.5,2.625,1.5,4.5,2.0,2.5,7.75,8.0,9.0,9.0,7.0,7.0,8.0,7.0,7.0,8.0,7.5,7.0,8.5
Asia,Central Asia and the Caucasus,Uzbekistan,UZB,4.9625,4.55,7.5,6.0,3.0,3.0,3.5,6.5,6.5,1.5,4.0,4.0,5.375,5.0,4.5,7.0,5.0,3.7916666666666665,3.0,3.0,4.0,4.0,3.0,3.5,4.5,3.5,4.5,4.0,5.0,3.5
Oceania,Melanesia,Vanuatu,VUT,2.2,2.4,2.5,1.5,1.5,3.0,5.5,1.5,1.5,2.0,3.0,2.0,2.0,1.0,1.0,2.5,3.5,5.333333333333333,5.0,6.0,6.0,6.5,7.0,6.5,5.0,4.0,3.5,5.0,3.5,6.0
Americas,South America,Venezuela,VEN,6.6375,5.65,7.5,7.5,8.0,2.5,2.5,9.0,2.0,9.0,7.0,1.5,7.625,9.5,5.0,9.0,7.0,1.9166666666666667,2.0,1.5,1.5,2.0,1.5,1.5,3.5,1.5,1.0,1.0,2.0,4.0
Asia,South-Eastern Asia,Vietnam,VNM,6.275,6.05,6.5,7.0,4.0,6.5,8.5,6.0,7.0,4.0,4.5,6.5,6.5,6.0,7.0,7.0,6.0,4.666666666666667,5.0,4.5,5.5,5.5,4.0,4.5,5.0,5.5,5.0,5.0,4.5,2.0
Asia,Western Asia,Yemen,YEM,6.125,5.0,8.5,7.5,9.0,2.5,4.0,7.0,2.5,2.0,3.0,4.0,7.25,8.0,7.0,6.0,8.0,2.0,2.0,2.0,3.0,2.0,1.5,2.0,2.0,2.0,2.5,1.0,2.0,2.0
Africa,Southern Africa,Zambia,ZMB,4.925,4.6,5.0,3.0,4.0,8.0,4.5,5.5,4.0,3.0,5.0,4.0,5.25,3.0,5.0,6.0,7.0,4.333333333333333,4.0,3.0,5.0,6.5,5.0,4.0,3.5,5.0,5.0,3.0,3.0,5.0
Africa,Southern Africa,Zimbabwe,ZWE,5.6625,5.2,5.5,3.5,4.0,5.5,7.5,8.0,4.0,3.0,6.0,5.0,6.125,3.5,7.5,8.0,5.5,3.1666666666666665,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0
